run_label,disease_name,persona_label,turn_number,role,message,word_count,accuracy,final_diagnosis,symptom_coverage,velocity,anxiety_drop,repetition_rate,empathy_score,slot_recall_t1,slot_precision,slot_fill_count,slot_curve
Pipeline-Anxious,Acute Respiratory Failure,Anxious,1,PATIENT,"Doctor, I've been having trouble breathing and my legs feel numb and tingly since I got sick.",17,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,2,DOCTOR,"I'm so sorry to hear that you're experiencing those symptoms. It's understandable that you're feeling anxious about what might be going on. On a scale of 1 to 10, how bad is the pain or discomfort in your legs?",39,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,3,PATIENT,"It's quite bad, doctor. I'd say it's around an 8. Sometimes, I feel like my legs are asleep and I'm worried it might be a sign of something serious. What if it's a nerve problem or something worse? The thought of it is giving me a lot of tension ho raha hai.   Can you please tell me if it's related to my respiratory issues or if it's a separate problem?",70,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,4,DOCTOR,"I understand your concerns, and I'm here to help you feel more at ease. The numbness and tingling sensations in your legs, combined with the breathing difficulties, do suggest that there might be a connection between the two. Let's focus on understanding the severity of the pain in your legs. Are you hearing any wheezing or rattling sounds when you breathe?",61,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,5,PATIENT,"Doctor, I've been wheezing a lot lately, especially when I breathe in deeply. It's like my airways are constricted or something. And when I cough, it's like my chest is tight and it's hard to get the air out. I've been worried that maybe my lungs are inflamed or something. What if it's not just a cold? What if it's something more serious, like... like pneumonia or something? The thought of it is really scaring me.   And what about my legs? Are you saying that the numbness and tingling are related to my breathing? Is it something to do with the oxygen not reaching my brain properly or something?",109,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,6,DOCTOR,"I can sense your anxiety, and I want to reassure you that we'll work together to get to the bottom of this. The wheezing and chest tightness you're experiencing are concerning, and we need to investigate further. The numbness and tingling sensations in your legs are indeed related to your breathing difficulties. It's possible that the reduced oxygenation of your blood may be affecting your nervous system, leading to these symptoms. On a scale of 1 to 10, how bad is the wheezing, and are you experiencing any wheezing when you're not breathing deeply?",94,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,7,PATIENT,"Doctor, the wheezing is really bad, I'd say it's around a 9. It's like my airways are closing up and it's hard to get any air in. And yes, even when I'm just breathing normally, I can hear the wheezing, especially in the mornings when I wake up. It's like my lungs are still trying to clear out all the mucus and stuff from the night.   I'm getting really scared, doctor. What if it's something serious? What if I'm not getting enough oxygen? What if... what if my lungs are collapsing or something? The thought of it is giving me a lot of anxiety and I'm having trouble sleeping at night.",111,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,8,DOCTOR,"I understand your concerns, and I want to reassure you that we'll do everything possible to address your symptoms. The wheezing you're experiencing, especially in the mornings, is a significant concern. I'm going to ask you to focus on your breathing sounds. Are you hearing any wheezing or rattling sounds when you breathe out, as well?",56,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,9,PATIENT,"Doctor, yes, I am hearing wheezing sounds when I breathe out too. It's like my airways are constricted and it's hard to get the air out. Sometimes, I feel like my chest is collapsing or something. And when I breathe out, it's like my airways are making this weird rattling sound. It's really scaring me, doctor. What if it's a sign of something serious? What if I need to be hospitalized or something?",73,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,10,DOCTOR,"I'm going to take a closer look at your symptoms. Based on what you've described, I'm going to propose a diagnosis. It's possible that you may have a pulmonary embolism, which is a blockage in the arteries of your lungs. The wheezing, chest tightness, and rattling sounds you're experiencing are all consistent with this diagnosis. I'm going to recommend that we run some tests to confirm this, and we'll discuss the next steps once we have more information.",78,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,11,PATIENT,"Doctor, a pulmonary embolism? That sounds so serious! I'm worried that it could be something more serious than that. What if it's not just a blockage? What if it's something more life-threatening? I've been reading online and I've heard of people dying from pulmonary embolisms. The thought of it is giving me a lot of anxiety and fear. Please, doctor, tell me that it's not as bad as it sounds.",70,,,,,,,,,,,
Pipeline-Anxious,Acute Respiratory Failure,Anxious,12,DOCTOR,"I understand your concerns, and I want to reassure you that we'll do everything possible to address your symptoms. While pulmonary embolism is a serious condition, it's not necessarily life-threatening if treated promptly. However, it's crucial that we investigate further to rule out any other potential complications.",47,,,,,,,,,,,
